country,population,world_percentage,date,source
Jamaica,2774538,0.03%,12 Sep 2022,2022 census result [ 157 ]
Gabon,2469296,0.03%,1 Jul 2025,National annual projection [ 158 ]
Gambia,2422712,0.03%,1 May 2024,Preliminary census results [ 159 ]
Moldova,2365600,0.03%,1 Jan 2026,Official estimate [ 160 ]
Botswana,2359609,0.03%,18 Mar 2022,2022 census result [ 161 ]
Albania,2335930,0.03%,1 Jan 2026,Official estimate [ 162 ]
Slovenia,2136385,0.03%,1 Apr 2026,National quarterly estimate [ 163 ]
Lesotho,2116427,0.03%,2024,Official survey [ 164 ]
Guinea-Bissau,1890252,0.02%,1 Jul 2026,National annual projection [ 165 ] [ dubious – discuss ]
Latvia,1832100,0.02%,1 Jul 2026,Monthly national estimate [ 166 ]
North Macedonia,1819074,0.02%,31 Dec 2025,Official estimate [ 167 ]
Equatorial Guinea,1668768,0.02%,1 Jul 2024,Official estimate [ 168 ]
Bahrain,1603260,0.02%,30 Jun 2025,Official estimate [ 169 ]
Kosovo,1582322,0.02%,31 Dec 2025,2024 national census [ 170 ]
Timor-Leste,1409452,0.02%,1 Jul 2026,National annual projection [ 171 ]
Trinidad and Tobago,1367764,0.02%,30 Jun 2025,Official estimate [ 172 ]
Estonia,1360745,0.02%,1 Jan 2026,Official estimate [ 173 ]
Mauritius,1240316,0.01%,30 Jun 2026,National estimate [ 174 ]
Eswatini,1235549,0.01%,1 Jul 2024,Official projection [ 175 ]
Djibouti,1066809,0.01%,20 May 2024,2024 census result [ 176 ]
Cyprus,983000,0.01%,31 Dec 2024,Official estimate [ 177 ]
Guyana,956044,0.01%,31 Dec 2024,Official estimate [ 178 ]
Comoros,944388,0.01%,2026,Official estimate [ 179 ]
Fiji,902623,0.01%,1 Jan 2026,National annual projection [ 180 ]
Bhutan,790718,0.010%,2026,National annual projection [ 181 ]
Solomon Islands,750325,0.009%,1 Jul 2024,National annual projection [ 182 ]
Luxembourg,690959,0.008%,1 Jan 2026,Official estimate [ 183 ]
Macau (China),686500,0.008%,30 Jun 2026,National quarterly estimate [ 184 ]
Montenegro,622902,0.008%,1 Jan 2026,Official estimate [ 185 ]
Suriname,616500,0.007%,1 Jul 2021,Official estimate [ 186 ]
Western Sahara (disputed),610813,0.007%,1 Jul 2026,UN projection [ 115 ]
Malta,588254,0.007%,31 Dec 2025,Official estimate [ 187 ]
Maldives,515132,0.006%,13 Sep 2022,2022 census result [ 188 ]
Cape Verde,491233,0.006%,16 Jun 2021,2021 census result [ 189 ]
Northern Cyprus,476214,0.006%,31 Dec 2023,Official projection [ 190 ]
Brunei,458600,0.006%,1 Jul 2025,Official estimate [ 191 ]
Belize,418982,0.005%,1 Jul 2026,Official estimate [ 192 ]
Bahamas,398165,0.005%,4 Apr 2022,2022 census result [ 193 ]
Iceland,396500,0.005%,1 Jul 2026,National quarterly estimate [ 194 ]
Transnistria,367776,0.004%,31 Mar 2024,Official estimate [ 195 ]
Vanuatu,321409,0.004%,1 Jul 2024,National annual projection [ 196 ]
French Polynesia (France),279500,0.003%,31 Dec 2024,National annual projection [ 197 ]
New Caledonia (France),264596,0.003%,1 Jan 2025,National annual projection [ 198 ]
Barbados,261692,0.003%,31 Dec 2025,Official estimate [ 199 ]
Abkhazia,244236,0.003%,1 Jan 2022,Official estimate [ 200 ]
São Tomé and Príncipe,209607,0.003%,2024,Preliminary census result [ 201 ]
Samoa,205557,0.002%,6 Nov 2021,2021 Census [ 202 ]
Saint Lucia,184100,0.002%,1 Jul 2023,Official estimate [ 203 ]
Curaçao (Netherlands),156115,0.002%,1 Jan 2025,Official estimate [ 204 ]
Guam (US),153836,0.002%,1 Apr 2020,2020 census result [ 205 ]
Seychelles,123565,0.001%,30 Jun 2026,Official estimate [ 206 ]
Kiribati,120740,0.001%,1 Jul 2021,National annual projection [ 196 ]
Aruba (Netherlands),110625,0.001%,31 Dec 2025,Official estimate [ 207 ]
Saint Vincent and the Grenadines,109296,0.001%,15 Jun 2023,2023 census result [ 208 ]
Grenada,109021,0.001%,2021,Preliminary Census results [ 209 ]
Jersey (UK),104540,0.001%,31 Dec 2024,2021 census result [ 210 ]
Antigua and Barbuda,103603,0.001%,1 Jan 2024,Official estimate [ 211 ]
Tonga,100179,0.001%,30 Nov 2021,2021 census result [ 212 ]
Andorra,90021,0.001%,31 Jul 2026,Monthly national estimate [ 213 ]
Cayman Islands (UK),88833,0.001%,31 Dec 2024,National annual projection [ 214 ]
U.S. Virgin Islands (US),87146,0.001%,1 Apr 2020,2020 census result [ 215 ]
Isle of Man (UK),84975,0.001%,1 Apr 2025,Official estimate [ 216 ]
Micronesia,75817,0.0009%,12 Feb 2023,2023 Census [ 217 ]
Dominica,65514,0.0008%,2026,Official estimate [ 218 ]
Guernsey (UK),64781,0.0008%,31 Dec 2023,National quarterly estimate [ 219 ]
Bermuda (UK),64055,0.0008%,1 Jul 2021,National annual projection [ 220 ]
Greenland (Denmark),56945,0.0007%,1 Jul 2026,National quarterly estimate [ 221 ]
South Ossetia,56520,0.0007%,31 Dec 2021,Official estimate [ 222 ]
Faroe Islands (Denmark),55726,0.0007%,1 Aug 2026,Monthly national estimate [ 223 ]
Turks and Caicos Islands (UK),52299,0.0006%,1 Jul 2025,Official estimate [ 224 ]
Saint Kitts and Nevis,51320,0.0006%,2022,2022 census result [ 225 ]
American Samoa (US),49710,0.0006%,1 Apr 2020,2020 census result [ 226 ]
Northern Mariana Islands (US),47329,0.0006%,1 Apr 2020,2020 census result [ 227 ]
Marshall Islands,42418,0.0005%,30 Sep 2021,2021 Census [ 228 ]
Sint Maarten (Netherlands),41349,0.0005%,1 Jan 2025,Official estimate [ 229 ]
Liechtenstein,41237,0.0005%,31 Dec 2025,National estimate [ 230 ]
British Virgin Islands (UK),39471,0.0005%,1 Jul 2024,UN projection [ 3 ]
Monaco,38857,0.0005%,31 Dec 2025,Census [ 231 ]
Gibraltar (UK),38196,0.0005%,14 Nov 2022,Preliminary census results [ 232 ]
San Marino,34167,0.0004%,30 Jun 2026,Monthly national estimate [ 233 ]
Saint Martin (France),31496,0.0004%,1 Jan 2025,Official estimate [ 234 ]
Palau,16733,0.0002%,1 Jul 2021,2021 Census [ 235 ]
Anguilla (UK),16010,0.0002%,31 Dec 2024,Official estimate [ 236 ]
Cook Islands (New Zealand),15040,0.0002%,1 Jul 2021,2021 Census [ 237 ]
Nauru,11680,0.0001%,30 Oct 2021,2021 Census [ 238 ]
Wallis and Futuna (France),11620,0.0001%,24 Jul 2023,2023 Census [ 239 ]
Tuvalu,10643,0.0001%,12 Dec 2022,2022 Census [ 240 ]
Saint Barthélemy (France),10562,0.0001%,1 Jan 2025,Official estimate [ 234 ]
Saint Pierre and Miquelon (France),5819,0%,1 Jan 2025,Official estimate [ 234 ]
"Saint Helena, Ascension and Tristan da Cunha (UK)",5651,0%,1 Jul 2021,2021 Census [ 241 ] [ 242 ] [ 243 ]
Montserrat (UK),4386,0%,23 Sep 2023,2023 census result [ 244 ]
Falkland Islands (UK),3662,0%,10 Oct 2021,2021 census result [ 245 ]
Tokelau (New Zealand),2608,0%,1 Jan 2025,2025 Census [ 246 ]
Norfolk Island (Australia),2188,0%,1 Jan 2021,2021 Census [ 247 ]
Christmas Island (Australia),1692,0%,1 Jan 2021,2021 Census [ 248 ]
Niue (New Zealand),1681,0%,11 Nov 2022,2022 Census [ 249 ]
Vatican City,882,0%,31 Dec 2024,Official figure [ 250 ]
Cocos (Keeling) Islands (Australia),593,0%,30 Jun 2020,2021 Census [ 251 ]
Pitcairn Islands (UK),35,0%,2023,Official estimate [ 252 ]
